,Unnamed: 0,text,labels,target,action
0,0,"Friday- Sept. 21, 2012 Receiving Stolen Property- 8:53 p.m. 70 Route 1- Keith D. Rowe, 35, of 9067 Hubbard Street, Colver City, CA was arrested for two counts of alleged Receiving a Stolen Credit Card, two counts of alleged Receiving Stolen Property Under $250 and charged with Attempt to Commit a Crime. Warrant Arrest- 10:05 p.m. 550 Route 1- Peter J. Mendes, 53, of 10 Winter Street, Foxborough, Mass. was arrested on a warrant for allegedly leaving the scene of a crime.  Saturday- Sept. 22, 2012 OUI Liquor, 2nd Offense, Arrest Made- 9:04 p.m. Robert B. Walsh, 72, of 90 Nahatan Street, Norwood, Mass. was arrested for alleged OUI Liquor, 2nd Offense and Marked Lanes Violation.  Sunday- Sept. 23, 2012 Possession of a Counterfeit/Forged Motor Vehicle Document, Arrest Made- 9:13 p.m. 238 Elm Street- Alcedir Emiliao da Silva, 39, of 171 Concard Street, Framingham, Mass. was arrested for alleged Unlicensed Operation of a Motor Vehicle, Speeding and Possession of a Counterfeit/Forged Motor Vehicle Document. OUI Liquor, Arrest Made- 10:45 p.m. 1107 Washington Street- Steven P. Breen, 31, of 399 Railroad Avenue, Norwood, Mass. was arrested for OUI and Marked Lane Violation.",0,8,5
1,1,"Update 12:45 p.m.: The fire has been knocked down. Fire officials confirmed a dog died, according to WFSB. Update 11:15 a.m.: Southbury fire reported on Twitter that additional tankers were needed because the fire expanded to nearby brush. Firefighters are responding to a fully-involved fire on Berkshire Road, according to radio dispatches. Mutual aid has been requested from Sandy Hook and Oxford fire departments. Check back for updates. Image via Shutterstock. Have a news tip? Email rich.scinto@patch.com. You can also post your own news, events and announcements on Patch by following these directions. Curious about how our new commenting platform, Disqus, works? Learn more about it here and start interacting with your neighbors on Patch.",0,8,5
2,2,"A burglary suspect was caught and arrested by police Tuesday in San Rafael after the victim came home and found him inside her residence, police said. It was about 9 a.m. Tuesday when the San Rafael Police Department dispatch center received a call of an interrupted burglary on Pleasant Lane in the Gerstle Park neighborhood, according to police Lt. Jim Correa. The resident returned home after being gone a short time and found a stranger inside her residence, Correa said. When she confronted him, he immediately fled the residence. Nearby residents called police when they heard her screaming and saw the suspect run off, the lieutenant said. Officers responded to search the neighborhood and a short time later, the suspect was located by police Sgt. Mike Vergara in the area of First Street and B Street, Correa said. Nathan Hall Wright, 30, of San Rafael, was positively identified as being the person seen inside the victims home and was booked at the Marin County Jail on the suspicion of residential burglary. Correa said Wright also had an outstanding warrant out of Chico for residential burglary. The lieutenant noted that San Rafael police detectives are also investigating whether Wright may be connected to similar cases in the area. (Image via Shutterstock)",0,8,5
3,3,"An Amtrak train carrying Republican members of Congress to a party retreat crashed into a truck Wednesday in Virginia, causing minor injuries onboard, killing one passenger on the truck and injuring the driver and a second passenger, according to authorities. The White House said there were no serious injuries among members of Congress or their staff. Amtrak said two crew members and three passengers suffered minor injuries and were transported to a local hospital. Among the injured was a congressman from Minnesota who was checked out and discharged from a local hospital per standard concussion protocol. Albemarle County Police identified the truck passenger who was killed as 28-year-old Christopher Foley. A second passenger was airlifted to the hospital in critical condition while the driver of the truck was transported via road in serious condition, police said. The train crash happened west of Crozet, Virginia, about 15 miles from Charlottesville. The GOP retreat was scheduled to take place at The Greenbrier in White Sulphur Springs, West Virginia. The annual event is scheduled to last three days and will feature speeches from Trump and Vice President Mike Pence. Charter buses transported Republicans to the retreat. White Sulphur Springs is roughly a two-hour drive from Crozet. At a press conference Wednesday night, the National Transportation Safety Board said a multi disciplinary team of experts would investigate the crash to understand what happened and why. The NTSB said it would be making recommendations based on the results of the investigation but would not speculate on the cause of the crash before the investigation was complete. The NTSB said it did know whether the part of the track where the crash happened was equipped with positive train control or PTC but they suspected that it was not. The NTSB also said that if they were to find any information to suggest the crash was intentional, they would turn over the information to the FBI. Lawmakers on board rendered aid to the injured on the truck and one representative administered CPR on the truck driver. Sen. Jeff Flake, of Arizona, along with Sen. Bill Cassidy, of Louisiana and Rep. Brad Wenstrup, of Ohio, helped carry one truck passenger to an ambulance, The Washington Post reported. Rep. Barry Loudermilk, of Georgia, told the Post the lawmakers literally pried open the doors and jumped off the train to assist those injured. Rep. Roger Marshall, a Republican from Kansas who is also a doctor, performed CPR on the truck driver and helped two people in the truck who were transported to an ambulance, he wrote on Twitter. Other lawmakers took to Twitter to offer their condolences and say that they were ok following the crash. Rep. Jason Lewis, a Republican from Minnesota, was checked out at the hospital for signs of a concussion. In a statement, Amtrak said the train came in contact with another vehicle around 11:20 a.m. It is premature to offer specific comment about this incident, however, it is clear that accidents at rail crossings nationwide are far too common, Amtrak said in an updated statement Wednesday night. This is an opportunity to remind everyone about the importance of exercising caution around railroad rights-of-way. Amtrak continues to work closely with Operation Lifesaver to communicate the dangers of grade crossings. Each year, about 2,000 people are killed or injured in grade crossing and trespassing incidents nationwide. Sen. Mike Lee, a Republican from Utah, told The Washington Post that the truck looked like it had been cut in half. We can see garbage strewn around and we can see the back half of the truck, Lee told the paper. There was a feeling of an impact and you could feel we had hit something. It took us maybe a quarter mile to stop. Rep. Carlos Curbelo, a Republican from Florida, said in an interview with MSNBC that there was a sudden impact, a loud noise and everyone was jolted. It was just uncomfortable for a few minutes and as we started realizing that everyone was OK I think that people started feeling better, Curbelo said. NBC News reported that House Speaker Paul Ryan, who was on board the train, was not injured. Todays incident was a terrible tragedy, Ryan said in a statement on Twitter. We are grateful for the first responders who rushed to the scene and we pray for the victims and their families. May they all be in our thoughts right now. Sen. Majority Leader Mitch McConnell issued a statement on the crash, offering condolences to the victims family, friends and coworkers. SEE ALSO: Virginia Train Crash: The Worst Amtrak Crashes In History Patch has compiled a list of GOP representatives on board the train. According to Patchs tally, over 100 GOP lawmakers were on board the train. We will update this list as we hear of more members of Congress who were on board. Just learned of the crash involving the train carrying Republican Members of Congress to their retreat today, House Minority Leader Nancy Pelosi said on Twitter. Praying that all are well both on the train and off. The crash happened just a day after Trump delivered his first State of the Union speech, addressing a joint session of Congress on Capitol Hill. Republicans were headed to the party retreat where they will focus on the upcoming midterm election, according to a schedule obtained by Politico. Republicans face a tough midterm election as Democrats riding on anti-Trump sentiment and unpopular GOP policies are aiming to take back control of at least one of the chambers of Congress. Several prominent Republicans have announced that they will not seek reelection with Rep. Trey Gowdy, the South Carolina representative who led the House Benghazi inquiry, being the latest to announce his retirement. Just seven months ago, a shooting at a GOP baseball practice in Alexandria, Virginia, critically injured Louisiana Rep. Steve Scalise. At Tuesdays State of the Union, Scalise was honored by Trump and received a standing ovation.  Dan Hampton and Colin Miner contributed reporting. Patch will update this breaking news story. Images 1 and 2 courtesy Rep. Greg Walden, third photo courtesy Rachael Bade, used with permission",0,8,5
4,4,"Two Canonsburg Middle School students will be charged by juvenile petition with possession of marijuana after witnesses told school officials Tuesday that they had witnessed what they believed to be a drug deal during homeroom. According to a Canonsburg police report, the two students said they saw a 14-year-old male classmate hand a 13-year-old female classmate a container in exchange for $20. The witnesses later told police that the girl showed them a suspected bag of marijuana. When the girl was initially confronted by Prinicipal Greg Taranto, she denied accusations she had marijuana, but later gave school officials the bag of the suspected drug. The boy denied possessing or giving marijuana to another student when confronted by principals. When administrators checked his bag, they did find a 16-ounce bottle with a yellow substance the boy later admitted was urine. He said he gives it to people it they need clean urine for drug tests, according to the police report. School officials asked that Canonsburg police file charges against the pair. The girl later told officers that she had made arrangements to purchase the drug from the boy, and did exchange $20 for a bag of the drug, a police report indicates. The girl will be charged with possession of a small amount of marijuana, while the boy will be charged with possession of a small amount of marijuana, possession with intent to deliver, a drug-free school zone violation and furnishing drug-free urine. The charges will proceed by juvenile petition.",0,8,5
5,5,"The Dover man who struck and killed a Parsippany man on Route 10 in December 2012 has been found not guilty of vehicular homicide. A jury acquitted Fabio Aristizabal Monday afternoon after three hours of deliberations, nj.com reported. Richard Oberst, 64, of the Morris Plains section of Parsippany was crossing the roadway near Pelican Ski Shop just before 2 a.m. on Dec. 22 when he was struck by Aristizabal. Oberst was taken to Morristown Medical Center and later succumbed to his injuries.  Aristizabal had a blood-alcohol level of .073, just a hair under the legal limit of .08, the report said. The driver left the scene but later returned, the report said.",0,8,5
6,6,"A fire at a four-story apartment complex in Oakland early this morning has killed at least one person, according to Oakland fire officials. Oakland Fire Department Battalion Chief Ian McWhorter said a call came in at 3:54 a.m., today, of a fire burning at 401 Fairmount Avenue. The victim was found on the stairwell outside their top-floor apartment, McWhorter said. It was a very intense fire, he said. A Bay City News reporter who lives at the apartment complex was awake when the fire started and said he heard yelling and someone yell fire! outside of his apartment. The reporter then walked outside of his apartment and saw people knocking on each others units and fire engulfing the corner unit located on the top floor of the apartment complex. One other person was taken to the hospital for smoke inhalation. Fire crews were able to contain the fire to the unit the blaze started in, but the unit below it suffered extensive water damage that displaced two people. McWhorter said the Red Cross had been called to help those displaced. The cause of the fire is currently under investigation. By Bay City News Photo via Shutterstock",0,8,5
7,7,"Police are investigating the armed street robbery of a 63-year-old woman on Christmas Eve in Hamden. At about 9:30 p.m. on Dec. 24, Hamden Police responded to 1414 Whitney Avenue on the report of an armed street robbery, according to Capt. Ronald Smith. Smith said investigation revealed that an individual, described as a black male wearing dark clothing, approached a 63-year-old woman as she was exiting her motor vehicle. He then demanded her wallet, while displaying a firearm, according to Smith. The suspect subsequently fled on foot, southbound toward Mather Street, and a search for the man was unsuccessful, according to Smith. Anyone with information is asked to contact the Hamden Police Department Detective Division at (203) 230-4040. Image via Shutterstock",0,8,5
8,8,"- A Santa Rosa couple was charged in Sonoma County Superior Court on Dec. 19 with 17 felony counts in connection with identity and credit card theft from teachers at several elementary schools in the county, including Petaluma. Jeffrey Scott Haysbert, 49, and Susan Patricia Morris, 47, are charged with six burglaries, eight counts of getting credit with another persons identity and one count each of receiving stolen property, conspiracy and multiple theft of identification information. They also are charged with misdemeanor possession of a controlled substance and drug paraphernalia. Theyre scheduled to enter pleas Jan. 17. Santa Rosa police said the credit card thefts from wallets and purses happened at vacant classrooms during school hours at eight different elementary schools in Rohnert Park, Santa Rosa, Petaluma and unincorporated Sonoma County. Police used surveillance camera video of the fraudulent purchases with the credit cards and the thefts from the schools to identify Morris and Haysbert as the suspects, Santa Rosa police Sgt. Marcus Sprague said. When photos of the suspects were posted on social media sites, detectives immediately began receiving phone calls with possible suspect information, Sprague said. Santa Rosa police detectives got a warrant to search Morriss and Haysberts vehicles and their residence Thursday. Police found stolen credit cards and the purchases, including high-end electronics, that were made with them, Sprague said. Detectives found additional credit cards and personal information belonging to other possible victims, and Morris and Haysbert were arrested and questioned at the Santa Rosa Police Department on Dec. 15, Sprague said. Police said Morris and Haysbert had a dating relationship and have children in one of the schools they allegedly victimized. Judge Arthur Wick set bail today for each defendant at $150,000. Wick denied a request to release Morris, citing a report stating she deserves intense supervision. Both defendants were referred to TASC, a national drug assessment and case management program for controlled substance treatment. After the arraignment, Haysberts attorney Barry McBride said credit card thefts from unattended wallets and purses are normally crimes of opportunity, but the controlled substance charges suggest the alleged crimes are drug related. Bay City News contributed to this report/Image via Shutterstock",0,8,5
9,9,"The Montgomery County Sheriffs Office is looking for the man who stripped naked in a store near The Woodlands Mall, and took a stroll through the store. The all too revealing incident was reported May 17 at about 2:42 p.m., in the Club Monaco store at the Market Place near the mall. Employees said the man, who appeared to be in his late 40s or early 50s, came in the store alone, and at the time was dressed in a light colored t-shirt with dark shorts, white socks and dark shoes, One of the employees asked if he needed any help, and he replied that he was just looking. Moments later, employees saw the middle-aged man strolling through the store in the buff, holding his rumpled clothing in his left hand. The startled employee yelled at the man, who then took off in a trot out the store. Employees told investigators the naked man managed to clothe himself as he was running away. During their investigation, deputies learned The Woodlands streaker did the same thing previously at other stores in the area. According to a press release, the same man stripped to his birthday suit inside a TJ Maxx Store in Shenandoah on May 15, and did it again at a Kirklands Store in nearby Oak Ridge North on May 16, casually strolling through both stores. Investigators didnt say if the man had any distinguishing marks or characteristics, only that he is a white, middle-aged man with an obvious beer belly, dark to graying hair, glasses, and a goatee. When he isnt disrobing in public places, the man has been seen driving an older model, possibly a 1999 to 2007, dark gray Ford F250 or F350 pickup with a dark bug deflector on the hood. Witnesses didnt see license plates on the front or back of the truck. If he is arrested he faces three counts of indecent exposure, If you recognize the suspect in the pictures please contact the Montgomery County Sheriffs Office at 936-760-5800 and refer to case #18A133058. Shenandoah PD Case# 18P003374 Oak Ridge PD Case# 18M003476 Image: MCSO Send your news tips to bryan.kirk@patch.com",0,8,5
